Lifecycle Stage,Step ID,Script File (Lines),Key Technologies & Libraries,Type of Problem (Applies to),How We Implement It (Production Implementation),Key Performance Metrics (Train/Val/Test),Verified Pipeline Results (4 Pipelines),Status,Known Issues & Fixes Applied,List Advanced Techniques or Libraries are being added
Data Validation (s00),s00,stage0_data_validation.py (379 lines),"pandas, data_validator, yaml","Classification, Regression, Clustering","Validate dataset schema, column types, and data quality before ingestion. Config-driven checks for required columns (target_column presence for supervised tasks), data type consistency, and null thresholds. Outputs validation_report.json with pass/fail gate. Component: v3_stage0_data_validation v1.","validation_passed, schema_errors, type_mismatches","All 4 pipelines: PASSED",Completed,None,"Great Expectations integration, automated data contracts, schema evolution detection"
Data Ingestion (s01),s01,stage1_ingestion.py (1112 lines),"Azure ML SDK, pandas, fsspec, azureml-fsspec","Classification, Regression, Clustering","Read CSV from Azure Datastore URI (azureml://datastores/mlops_blob/paths/*.csv) using pandas with automatic mount by Azure ML. Supports configurable delimiter (comma/semicolon via config). Validates target column presence for supervised tasks. Logs basic dataset statistics (rows, cols, missing values) to MLflow. Read-only datastore access — no credential management needed. Component: v3_stage1_ingestion v9.","dataset_rows, dataset_cols, missing_total, null_percentage","Bank Mktg: 41188×21 | College: 777×18 | Telecom: 243599×11 | Retail: 541909×8",Completed,"Fixed delimiter detection for semicolon-separated datasets (bank marketing). azureml-fsspec required in conda env.","Parquet support, schema validation, data versioning with DVC, streaming ingestion for large datasets"
Data Preparation (s02),s02,stage2_preparation.py (351 lines),"pandas, numpy, scikit-learn","Classification, Regression, Clustering","Automatic column type inference (numeric vs categorical) using dtype and unique-value analysis. High-cardinality detection (>100 unique values) with threshold-based column dropping. Missing value profiling per column. Drops ID-like columns (nameOrig, nameDest, transactionID). Preparation report generation with per-column statistics. Component: stage2_preparation v7.","rows, cols, na_total, num_cols_count, cat_cols_count, high_cardinality_dropped","All 4 pipelines: PASSED (ID cols dropped correctly)",Completed,None,"Automated feature type detection with Featuretools, outlier detection, data quality scoring, automatic date/time feature extraction"
Preprocessing (s03),s03,stage3_preprocessing.py (371 lines),"pandas, scikit-learn (LabelEncoder, OrdinalEncoder, StandardScaler, MinMaxScaler, SimpleImputer)","Classification, Regression, Clustering","Config-driven encoding strategies: one-hot (pd.get_dummies), label (LabelEncoder), target encoding. Missing value imputation: mean/median/mode for numeric, mode for categorical (from config stages.stage3 settings). Saves label_encoder.pkl for target column (classification). Outputs processed CSV + encoder artifacts. Component: stage3_preprocessing v5.","rows, cols, encoded_features, imputed_columns","All 4 pipelines: PASSED",Completed,None,"Advanced encoding: CatBoost encoding, WOE encoding, hash encoding. Multivariate imputation with IterativeImputer. Polynomial features generation"
Feature Engineering (s04),s04,stage4_feature_engineering.py (396 lines),"scikit-learn (SelectKBest, mutual_info, VarianceThreshold, RFE, StandardScaler, MinMaxScaler, RobustScaler)","Classification, Regression, Clustering","Feature selection methods from config: variance threshold, mutual_info, boruta, correlation. Scaling strategies: standard, minmax, robust. Train/test split with stratify=y for classification (ensures balanced class distribution). Feature importance ranking and selection report. Component: stage4_feature_engineering v6.","kept_feature_count, rows_after_fe, cols_after_fe, variance_threshold_applied","All 4 pipelines: PASSED",Completed,None,"Automated feature engineering with Featuretools. Feature interaction detection. Dimensionality reduction (PCA, t-SNE, UMAP). Feature crossing and binning"
Baseline Training - PyCaret (s05a),s05a,stage5_pycaret_train.py (435 lines),"PyCaret (classification/regression/clustering), pandas, numpy, mlflow","Classification, Regression, Clustering","Task-specific PyCaret module import (pycaret.classification/regression/clustering). Auto-setup with data and target. compare_models() for classification/regression (trains MODEL_UNIVERSE: lr, dt, rf, et, gbc, ada, lightgbm, catboost, xgboost, knn). create_model('kmeans') for clustering. SMOTE applied when imbalance_ratio < 0.35 (classification only). Model leaderboard generation. MLflow tracking URI converted azureml:// → https://. Component: v3_stage5_pycaret_train v5.","Classification: accuracy, auc, precision, recall, f1 | Regression: r2, rmse, mae, mse | Clustering: silhouette_score, davies_bouldin_score, calinski_harabasz_score","Bank Mktg: CatBoost acc=0.912 | College: ExtraTree R²=0.500 | Telecom: bal_acc≈0.5 | Retail: KMeans sil=0.730 (dtype mismatch warning)",Completed,"Known: PyCaret clustering dtype mismatch ('expected const double got float') produces warning but model saves. SMOTE threshold 0.35 may be too low for 80/20 splits.","Ensemble methods: stacking, blending, bagging. Hyperparameter tuning with tune_model(). Model calibration"
Baseline Training - FLAML (s05b),s05b,stage5_flaml_train.py (364 lines),"FLAML, pandas, numpy, mlflow","Classification, Regression (Clustering: graceful skip)","AutoML with FLAML for classification/regression. Adaptive search space based on task type. Time-budgeted optimization (time_budget from config + 360s deadline buffer for cross-validation). Multiprocessing timeout protection. Graceful skip for clustering — outputs valid JSON with status:skipped. Logs per-model metrics to MLflow nested runs. Component: v3_stage5_flaml_train v7.","Classification: accuracy, auc, f1 | Regression: r2, mae, rmse | Clustering: N/A (skipped)","Bank Mktg: FLAML acc=0.910 | College: FLAML R²=0.497 | Telecom: FLAML bal_acc≈0.5 | Retail: skipped",Completed,"Always add +360s to FLAML time_budget for CV overhead to avoid hard kills.","Sparse matrix support, custom metric optimization, resource-constrained AutoML"
Aggregate Baseline (s05z),s05z,aggregate_baseline.py (391 lines),"pandas, json, joblib, mlflow","Classification, Regression, Clustering","Load manifests from PyCaret (s05a) and FLAML (s05b) outputs. Compare using task-specific primary metric: accuracy (classification), r2 (regression), silhouette_score (clustering). Select champion model with highest score. For clustering: always selects PyCaret since FLAML skips. Save champion model.pkl and champion_manifest.json. Log selection report to MLflow. Component: v3_aggregate_baseline v4.","champion_score, champion_source (pycaret/flaml), champion_model_name","Bank Mktg: PyCaret CatBoost (0.912) | College: PyCaret ExtraTree (0.500) | Telecom: baseline≈0.5 | Retail: PyCaret KMeans (0.730)",Completed,None,"Multi-metric weighted selection. Pareto frontier analysis. Statistical significance testing"
Baseline Training - Time-Series (s05t),s05t,stage5_timeseries_train.py (388 lines),"statsmodels (ARIMA, SARIMAX, ExponentialSmoothing, ThetaModel)","Forecasting only (conditional execution)","Temporal train/test split (no random shuffle — preserves time ordering). 6 candidate models: arima, sarima, exponential_smoothing, ses, theta, seasonal_naive. Per-model try/except with graceful degradation (if one model fails, continues to next). Best model selected by lowest MAE. Phase A only — no Phase B/C variant search or HPO support for timeseries yet. Component: v3_stage5_timeseries_train v1.","MAE, RMSE, MAPE, SMAPE per model. Best model by lowest MAE","Not exercised in current 4 pipeline runs (no timeseries dataset configured)",Completed (Phase A only),"Phase B/C not wired for timeseries. Pipeline builder calls s5t but output not connected to variant runner or HPO.","Prophet/NeuralProphet integration. Multi-horizon forecasting. Seasonal decomposition. Exogenous variable support"
"Phase B Variant Exploration (s06 — 3143 lines)",s06,s06_phaseb_variant_runner.py (3143 lines),"PyCaret, FLAML, scikit-learn, imblearn (SMOTE), DatasetProfiler, VariantRecommender, VariantPlanner, PreprocessingCache, joblib","Classification (260 recipes), Regression (127 recipes), Clustering (67 recipes) — 457 total available; top 20 selected per run","Single-step batch processor (replaced old s06a/s07a/s06b/s07b multi-step design). Pipeline: (1) DatasetProfiler analyzes statistical properties (n_rows, n_features, missing_rate, imbalance_ratio, outlier_prevalence, multicollinearity). (2) VariantRecommender scores all available variants 0-100 with diversity boost and min_relevance_score=30 threshold. (3) Top 20 variants selected (config: max_recipes=20). (4) Each variant×engine combination executed with nested MLflow child runs. PyCaret setup with preprocess=False (data already preprocessed). FLAML with flaml_min_budget=120s. CheckpointManager enables resume on failure. Atomic model saves with joblib.dump + tmp rename. Outputs: leaderboard.csv, all_results.json, champion_manifest.json, champion_model.pkl. Component: v3_phaseb_variant_runner v7.","Per-variant: primary_metric, runtime_sec, timed_out (bool), leakage_risk. Aggregate: leaderboard.csv (ranked), champion_manifest.json, champion_model.pkl","Bank Mktg: 32 variants (16 ok, 16 timeout) best=CatBoost | College: 28 variants (20 ok, 8 timeout) best R²=0.877 | Telecom: 34 variants (12 ok, 22 timeout) | Retail: 10 variants (10 ok) all sil≈0.730",Completed,"Fixed: delimiter mismatch (was semicolon, now comma-delimited). Fixed: champion model not saved when best_score was 0.0 (changed from 'if best_score' to 'if best_score is not None'). Known: 50-65% timeout rate with 180s budget — consider increasing runtime_budget_sec. Known: regression variant R²=0.877 not propagated to s10 (aggregate selection issue).","Proxy pruning (threshold=0.50). Cache-aware dedup. Round-based planner selection. Dataset profiling with domain detection. Variant schema validation with leakage risk scoring"
Pipeline Attribution (s07),s07,s07_phase2_pipeline_attribution.py,"pandas, numpy, MLflow","Classification, Regression, Clustering","Phase 2 pipeline attribution analysis. Analyzes contribution of each pipeline stage to final model performance by comparing intermediate metrics. Generates attribution reports for transparency. Component: wired in pipeline_builder.py.","stage_attribution_scores, pipeline_contribution_map","All 4 pipelines: PASSED",Completed,None,"SHAP-based pipeline contribution analysis, stage-level performance profiling"
"Phase B Aggregation (aggregate_phaseb)",s08 (aggregate),aggregate_phaseb.py (501 lines),"pandas, json, MLflow, joblib","Classification, Regression, Clustering","Merges variant×engine results from s06 leaderboard.csv. Re-ranks by primary metric (accuracy/r2/silhouette_score). Identifies Phase B champion. Copies champion model to output directory. Logs champion_manifest.json and leaderboard.csv as MLflow artifacts. Fixed OOM for large leaderboards (3 rounds of fixes). Component: v3_aggregate_phaseb v5.","champion_score, champion_variant_id, champion_engine, variants_completed, variants_failed","Bank Mktg: CatBoost champion | College: baseline wins (R²=0.500 > variant propagated) | Telecom: ≈0.5 | Retail: KMeans sil=0.730",Completed,"Fixed: 3 rounds of OOM fixes for large result sets. Known: variant champion not always propagated when aggregate logic uses training metric vs holdout.","Recipe performance profiling. Recipe recommendation. A/B testing framework for recipe comparison"
