"file_name","task_type","category","tier","recipe_name","description","version","imputation_method","imputation_max_iter","imputation_estimator","encoding_method","encoding_smoothing","encoding_handle_unknown","scaling_method","scaling_output_distribution","scaling_n_quantiles","imbalance_method","imbalance_sampling_strategy","imbalance_k_neighbors","outlier_method","outlier_threshold","outlier_strategy","outlier_limits","feature_selection_method","feature_selection_threshold","feature_selection_n_repeats","feature_selection_scoring","variant_id","leakage_risk","estimated_runtime_sec","generation_mode","v1_expected_quality","v1_max_runtime_seconds","v1_level","v1_compatibility_score","performance_tier","expected_runtime_seconds","research_citations"
"variant_01ace0cb3ddd.yml","classification","variant_search","","01ace0cb3ddd","Pipeline Variant: mean+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","none","","","","","","","correlation","0.95","","","01ace0cb3ddd","none","30","grid_sample","","","","","","",""
"variant_01e9778f8033.yml","classification","variant_search","","01e9778f8033","Pipeline Variant: mean+smoteenn+onehot+none+variance","1.0","mean","","","onehot","","","none","","","smoteenn","","","","","","","variance","","","","01e9778f8033","medium","30","grid_sample","","","","","","",""
"variant_025ad086d938.yml","classification","variant_search","","025ad086d938","Pipeline Variant: mean+onehot+robust+none","1.0","mean","","","onehot","","","robust","","","none","","","","","","","none","","","","025ad086d938","none","30","grid_sample","","","","","","",""
"variant_0339a024f104.yml","classification","variant_search","","0339a024f104","Pipeline Variant: mean+smotetomek+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.95","","","0339a024f104","medium","30","grid_sample","","","","","","",""
"variant_05bc83b59a91.yml","classification","variant_search","","05bc83b59a91","Pipeline Variant: mean+smotetomek+label+minmax+variance","1.0","mean","","","label","","","minmax","","","smotetomek","","","","","","","variance","","","","05bc83b59a91","medium","30","grid_sample","","","","","","",""
"variant_0715fbaaa7d8.yml","classification","variant_search","","0715fbaaa7d8","Pipeline Variant: mean+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","none","","","","","","","correlation","0.95","","","0715fbaaa7d8","none","30","grid_sample","","","","","","",""
"variant_07a620b2c8d7.yml","classification","variant_search","","07a620b2c8d7","Pipeline Variant: mean+smoteenn+label+standard+none","1.0","mean","","","label","","","standard","","","smoteenn","","","","","","","none","","","","07a620b2c8d7","medium","30","grid_sample","","","","","","",""
"variant_0ca87e7ff3c6.yml","classification","variant_search","","0ca87e7ff3c6","Pipeline Variant: mean+label+none+none","1.0","mean","","","label","","","none","","","none","","","","","","","none","","","","0ca87e7ff3c6","none","30","grid_sample","","","","","","",""
"variant_0e36e01ab078.yml","classification","variant_search","","0e36e01ab078","Pipeline Variant: mean+onehot+minmax+variance","1.0","mean","","","onehot","","","minmax","","","none","","","","","","","variance","","","","0e36e01ab078","none","30","grid_sample","","","","","","",""
"variant_0ec0cc789303.yml","classification","variant_search","","0ec0cc789303","Pipeline Variant: mean+smotetomek+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.9","","","0ec0cc789303","medium","30","grid_sample","","","","","","",""
"variant_102a7fe37ba3.yml","classification","variant_search","","102a7fe37ba3","Pipeline Variant: mean+smoteenn+label+quantile+variance","1.0","mean","","","label","","","quantile","","","smoteenn","","","","","","","variance","","","","102a7fe37ba3","medium","30","grid_sample","","","","","","",""
"variant_126885349d0f.yml","classification","variant_search","","126885349d0f","Pipeline Variant: mean+smotetomek+label+none+correlation","1.0","mean","","","label","","","none","","","smotetomek","","","","","","","correlation","0.9","","","126885349d0f","medium","30","grid_sample","","","","","","",""
"variant_138218da7556.yml","classification","variant_search","","138218da7556","Pipeline Variant: mean+smoteenn+label+robust+correlation","1.0","mean","","","label","","","robust","","","smoteenn","","","","","","","correlation","0.95","","","138218da7556","medium","30","grid_sample","","","","","","",""
"variant_13b0ee1eb7a8.yml","classification","variant_search","","13b0ee1eb7a8","Pipeline Variant: mean+label+quantile+none","1.0","mean","","","label","","","quantile","","","none","","","","","","","none","","","","13b0ee1eb7a8","none","30","grid_sample","","","","","","",""
"variant_13be36e8e6e1.yml","classification","variant_search","","13be36e8e6e1","Pipeline Variant: mean+label+standard+correlation","1.0","mean","","","label","","","standard","","","none","","","","","","","correlation","0.85","","","13be36e8e6e1","none","30","grid_sample","","","","","","",""
"variant_1807c4933bae.yml","classification","variant_search","","1807c4933bae","Pipeline Variant: mean+label+minmax+none","1.0","mean","","","label","","","minmax","","","none","","","","","","","none","","","","1807c4933bae","none","30","grid_sample","","","","","","",""
"variant_18bc115b4c80.yml","classification","variant_search","","18bc115b4c80","Pipeline Variant: mean+onehot+none+none","1.0","mean","","","onehot","","","none","","","none","","","","","","","none","","","","18bc115b4c80","none","30","grid_sample","","","","","","",""
"variant_1963c38fdf7c.yml","classification","variant_search","","1963c38fdf7c","Pipeline Variant: mean+smotetomek+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smotetomek","","","","","","","correlation","0.9","","","1963c38fdf7c","medium","30","grid_sample","","","","","","",""
"variant_1989c7714cb8.yml","classification","variant_search","","1989c7714cb8","Pipeline Variant: mean+smotetomek+label+standard+correlation","1.0","mean","","","label","","","standard","","","smotetomek","","","","","","","correlation","0.95","","","1989c7714cb8","medium","30","grid_sample","","","","","","",""
"variant_1b6127d96972.yml","classification","variant_search","","1b6127d96972","Pipeline Variant: mean+smoteenn+onehot+minmax+variance","1.0","mean","","","onehot","","","minmax","","","smoteenn","","","","","","","variance","","","","1b6127d96972","medium","30","grid_sample","","","","","","",""
"variant_1c6bbbcbb71b.yml","classification","variant_search","","1c6bbbcbb71b","Pipeline Variant: mean+smotetomek+onehot+standard+variance","1.0","mean","","","onehot","","","standard","","","smotetomek","","","","","","","variance","","","","1c6bbbcbb71b","medium","30","grid_sample","","","","","","",""
"variant_1ef8f1d7eaa2.yml","classification","variant_search","","1ef8f1d7eaa2","Pipeline Variant: mean+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","none","","","","","","","correlation","0.85","","","1ef8f1d7eaa2","none","30","grid_sample","","","","","","",""
"variant_1fb2bff4f80a.yml","classification","variant_search","","1fb2bff4f80a","Pipeline Variant: mean+onehot+yeo_johnson+variance","1.0","mean","","","onehot","","","yeo_johnson","","","none","","","","","","","variance","","","","1fb2bff4f80a","none","30","grid_sample","","","","","","",""
"variant_2277be66d1bf.yml","classification","variant_search","","2277be66d1bf","Pipeline Variant: mean+onehot+yeo_johnson+none","1.0","mean","","","onehot","","","yeo_johnson","","","none","","","","","","","none","","","","2277be66d1bf","none","30","grid_sample","","","","","","",""
"variant_268c78180897.yml","classification","variant_search","","268c78180897","Pipeline Variant: mean+smotetomek+label+none+correlation","1.0","mean","","","label","","","none","","","smotetomek","","","","","","","correlation","0.95","","","268c78180897","medium","30","grid_sample","","","","","","",""
"variant_2f8d4ebb4190.yml","classification","variant_search","","2f8d4ebb4190","Pipeline Variant: mean+onehot+minmax+none","1.0","mean","","","onehot","","","minmax","","","none","","","","","","","none","","","","2f8d4ebb4190","none","30","grid_sample","","","","","","",""
"variant_2f967bc79c1f.yml","classification","variant_search","","2f967bc79c1f","Pipeline Variant: mean+onehot+none+variance","1.0","mean","","","onehot","","","none","","","none","","","","","","","variance","","","","2f967bc79c1f","none","30","grid_sample","","","","","","",""
"variant_318ebab2588d.yml","classification","variant_search","","318ebab2588d","Pipeline Variant: mean+smoteenn+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smoteenn","","","","","","","correlation","0.85","","","318ebab2588d","medium","30","grid_sample","","","","","","",""
"variant_3196f1961250.yml","classification","variant_search","","3196f1961250","Pipeline Variant: mean+smoteenn+label+minmax+variance","1.0","mean","","","label","","","minmax","","","smoteenn","","","","","","","variance","","","","3196f1961250","medium","30","grid_sample","","","","","","",""
"variant_34e7eb23f56e.yml","classification","variant_search","","34e7eb23f56e","Pipeline Variant: mean+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","none","","","","","","","correlation","0.95","","","34e7eb23f56e","none","30","grid_sample","","","","","","",""
"variant_36c67cddd303.yml","classification","variant_search","","36c67cddd303","Pipeline Variant: mean+smotetomek+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.9","","","36c67cddd303","medium","30","grid_sample","","","","","","",""
"variant_38c795287136.yml","classification","variant_search","","38c795287136","Pipeline Variant: mean+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","none","","","","","","","correlation","0.95","","","38c795287136","none","30","grid_sample","","","","","","",""
"variant_3ac2d9a20d47.yml","classification","variant_search","","3ac2d9a20d47","Pipeline Variant: mean+label+robust+correlation","1.0","mean","","","label","","","robust","","","none","","","","","","","correlation","0.85","","","3ac2d9a20d47","none","30","grid_sample","","","","","","",""
"variant_3d106ce9b772.yml","classification","variant_search","","3d106ce9b772","Pipeline Variant: mean+smotetomek+onehot+robust+variance","1.0","mean","","","onehot","","","robust","","","smotetomek","","","","","","","variance","","","","3d106ce9b772","medium","30","grid_sample","","","","","","",""
"variant_3e20c4f5d937.yml","classification","variant_search","","3e20c4f5d937","Pipeline Variant: mean+smotetomek+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smotetomek","","","","","","","correlation","0.85","","","3e20c4f5d937","medium","30","grid_sample","","","","","","",""
"variant_42203acb9f9f.yml","classification","variant_search","","42203acb9f9f","Pipeline Variant: mean+onehot+robust+variance","1.0","mean","","","onehot","","","robust","","","none","","","","","","","variance","","","","42203acb9f9f","none","30","grid_sample","","","","","","",""
"variant_42fab0ee71eb.yml","classification","variant_search","","42fab0ee71eb","Pipeline Variant: mean+smotetomek+label+quantile+variance","1.0","mean","","","label","","","quantile","","","smotetomek","","","","","","","variance","","","","42fab0ee71eb","medium","30","grid_sample","","","","","","",""
"variant_4318a1591225.yml","classification","variant_search","","4318a1591225","Pipeline Variant: mean+smoteenn+label+none+none","1.0","mean","","","label","","","none","","","smoteenn","","","","","","","none","","","","4318a1591225","medium","30","grid_sample","","","","","","",""
"variant_44517db5f1eb.yml","classification","variant_search","","44517db5f1eb","Pipeline Variant: mean+smoteenn+label+minmax+none","1.0","mean","","","label","","","minmax","","","smoteenn","","","","","","","none","","","","44517db5f1eb","medium","30","grid_sample","","","","","","",""
"variant_45dc050b379f.yml","classification","variant_search","","45dc050b379f","Pipeline Variant: mean+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","none","","","","","","","correlation","0.9","","","45dc050b379f","none","30","grid_sample","","","","","","",""
"variant_46d4944abca5.yml","classification","variant_search","","46d4944abca5","Pipeline Variant: mean+label+none+correlation","1.0","mean","","","label","","","none","","","none","","","","","","","correlation","0.95","","","46d4944abca5","none","30","grid_sample","","","","","","",""
"variant_499d41ca23a6.yml","classification","variant_search","","499d41ca23a6","Pipeline Variant: mean+smotetomek+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smotetomek","","","","","","","correlation","0.95","","","499d41ca23a6","medium","30","grid_sample","","","","","","",""
"variant_4ab8f6c1bfb7.yml","classification","variant_search","","4ab8f6c1bfb7","Pipeline Variant: mean+onehot+standard+none","1.0","mean","","","onehot","","","standard","","","none","","","","","","","none","","","","4ab8f6c1bfb7","none","30","grid_sample","","","","","","",""
"variant_500cfddd26aa.yml","classification","variant_search","","500cfddd26aa","Pipeline Variant: mean+smoteenn+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.95","","","500cfddd26aa","medium","30","grid_sample","","","","","","",""
"variant_51b4a7ae7fe4.yml","classification","variant_search","","51b4a7ae7fe4","Pipeline Variant: mean+label+quantile+variance","1.0","mean","","","label","","","quantile","","","none","","","","","","","variance","","","","51b4a7ae7fe4","none","30","grid_sample","","","","","","",""
"variant_51e2b7673d7a.yml","classification","variant_search","","51e2b7673d7a","Pipeline Variant: mean+label+robust+correlation","1.0","mean","","","label","","","robust","","","none","","","","","","","correlation","0.95","","","51e2b7673d7a","none","30","grid_sample","","","","","","",""
"variant_5265bc575fda.yml","classification","variant_search","","5265bc575fda","Pipeline Variant: mean+smotetomek+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smotetomek","","","","","","","correlation","0.85","","","5265bc575fda","medium","30","grid_sample","","","","","","",""
"variant_53e637b26621.yml","classification","variant_search","","53e637b26621","Pipeline Variant: mean+smoteenn+label+standard+correlation","1.0","mean","","","label","","","standard","","","smoteenn","","","","","","","correlation","0.85","","","53e637b26621","medium","30","grid_sample","","","","","","",""
