Data Science Lifecycle Stage,Pipeline Step(s),Possible Libraries & Tools,Type of Problem Supported,Libraries & Methods Actually Used,Datasets Used,Domain / Industry,Key Performance Metrics
"Data Ingestion & Validation","s01_ingestion (stage1_ingestion.py; stage0_data_validation.py exists as component but NOT wired in pipeline)","pandas, numpy, PyYAML, MLflow, pandera, Great Expectations, Azure ML Datastores, azureml-fsspec","Classification, Regression, Clustering, Forecasting (auto-detected)","pandas (read_csv), numpy, PyYAML (config loader), MLflow, pandera (schema validation), matplotlib/seaborn (EDA). Functions: load_config(), build_dataset_uri(), validate_data_quality() with RED/YELLOW/GREEN gates, detect_time_series() with 7 heuristics","telecom_churn.csv (243K×45), california_housing.csv (20K×9), wholesale_customers.csv (440×8), bank_marketing.csv, college.csv, online_retail.csv","Telecommunications, Real Estate, Retail, Finance, Education, E-Commerce","Data quality gates (row count, null %, duplicate rate, column type validation), schema pass/fail, time-series confidence score"
"Data Cleaning & Preparation","s02_preparation (stage2_preparation.py)","pandas, numpy, scikit-learn (SimpleImputer, KNNImputer, IterativeImputer), category_encoders, sweetviz, feature-engine","Classification, Regression, Clustering, Forecasting","pandas (dropna, fillna, astype, drop_duplicates, get_dummies), numpy, sweetviz (EDA report), category_encoders (TargetEncoder, BinaryEncoder, OrdinalEncoder). EDA dir propagation via --eda_dir arg","All configured datasets (passed from s01 output)","Domain-agnostic","Missing value count before/after, duplicate rows removed, column type conversions, EDA report artifacts"
"Preprocessing & Recipe-Driven Transforms","s03_preprocessing (stage3_preprocessing.py)","scikit-learn (StandardScaler, RobustScaler, MinMaxScaler, QuantileTransformer, PowerTransformer, LabelEncoder), imblearn (SMOTE, ADASYN, BorderlineSMOTE), statsmodels (VIF), category_encoders","Classification (imbalance handling), Regression (outlier handling), Clustering (scaling only), Forecasting (passthrough)","sklearn.preprocessing (StandardScaler, RobustScaler, QuantileTransformer, PowerTransformer, LabelEncoder), imblearn (SMOTE, ADASYN), statsmodels VIF. detect_multicollinearity() VIF>10, preprocess() with recipe-driven: imputation (mean/median/knn/iterative/none), encoding (onehot/target/label/ordinal/binary/none), scaling (standard/robust/minmax/quantile/power/none), imbalance (smote/adasyn/borderline_smote/none), outlier (iqr/zscore/percentile)","All configured datasets (passed from s02 output)","Configurable per domain — finance: robust scaling, academic: standard scaling","VIF scores, imbalance ratio before/after, feature count before/after encoding, outliers removed"
"Feature Engineering & Selection","s04_feature_engineering (stage4_feature_engineering.py)","scikit-learn (SelectKBest, mutual_info_classif, mutual_info_regression, VarianceThreshold, f_classif, f_regression, RFE), sklearn.decomposition (PCA), Boruta","Classification, Regression, Clustering, Forecasting","sklearn.feature_selection (SelectKBest with mutual_info_classif/regression, VarianceThreshold), sklearn.decomposition (PCA). detect_imbalance(), feature_engineer() with recipe-driven: correlation filter, variance threshold, mutual information, PCA, Boruta. High-cardinality protection: >100 unique values dropped","All configured datasets (passed from s03 output)","Domain-agnostic — recipe YAML driven","Features selected/dropped count, variance explained (PCA), mutual info scores, feature importance rankings"
"Baseline Training — Phase A (PyCaret)","s05a_baseline_pycaret (stage5_pycaret_train.py)","PyCaret (classification, regression, clustering), scikit-learn, XGBoost, LightGBM, CatBoost","Classification (14 models), Regression (23 models), Clustering (8 models)","PyCaret 3.x (setup, compare_models, pull, save_model, predict_model), sklearn.metrics (classification_report, confusion_matrix, roc_auc_score, average_precision_score). Classification: lr/knn/nb/dt/ridge/rf/qda/ada/gbc/lda/et/xgboost/lightgbm/catboost. Regression: lr/lasso/ridge/en/lar/llar/omp/br/ard/par/ransac/tr/huber/kr/knn/dt/rf/et/ada/gbr/xgboost/lightgbm/catboost. Clustering: kmeans/ap/meanshift/sc/hclust/dbscan/optics/birch. SVM/RBF/MLP REMOVED","Engineered dataset from s04 output","Multi-domain — automatic model selection per task type","Classification: AUC, Accuracy, Precision, Recall, F1, Kappa, MCC, LogLoss. Regression: R2, MAE, MSE, RMSE, MAPE. Clustering: Silhouette, Davies-Bouldin, Calinski-Harabasz"
"Baseline Training — Phase A (FLAML)","s05b_baseline_flaml (stage5_flaml_train.py)","FLAML (AutoML), scikit-learn, XGBoost, LightGBM, CatBoost","Classification (9 models), Regression (7 models). Clustering: SKIPPED","FLAML AutoML (AutoML().fit() with configurable time_budget), sklearn.metrics (accuracy_score, r2_score, roc_auc_score). Per-estimator timeout via multiprocessing. Classification: lgbm/xgboost/xgb_limitdepth/catboost/rf/extra_tree/lrl1/lrl2/kneighbor. Regression: lgbm/xgboost/xgb_limitdepth/catboost/rf/extra_tree/kneighbor. Clustering: explicit skip","Engineered dataset from s04 output","Multi-domain — time-budget constrained selection","Classification: AUC, Accuracy, F1. Regression: R2, MAE, MSE. Time budget utilization, best estimator"
"Forecasting Training — Phase A (statsmodels)","s05t_baseline_timeseries (stage5_timeseries_train.py)","statsmodels (ARIMA, SARIMAX, ExponentialSmoothing, SimpleExpSmoothing, ThetaModel), Prophet, NeuralProphet","Forecasting only (conditionally executed when detect_time_series() returns True)","statsmodels ARIMA, SARIMAX (SARIMA), ExponentialSmoothing, SimpleExpSmoothing, ThetaModel, custom Seasonal Naive. Temporal train/test split (no random shuffle). 6 models: arima/sarima/exponential_smoothing/ses/theta/naive","Time-series datasets detected at s01 ingestion","Finance, Retail, IoT, Weather — any temporal domain","MAE, RMSE, MAPE, SMAPE per model. Best model by lowest MAE"
"Baseline Aggregation","s05z_aggregate_baseline","pandas, MLflow, custom AIM-Tournament","Classification, Regression, Clustering, Forecasting","pandas (concat, merge, sort_values), MLflow (artifact logging), JSON manifest merging. Collects from s05a/s05b/s05t. Naming: z suffix for last position in Azure ML Studio","Phase A output manifests from all three engines","Domain-agnostic — unified ranking","Unified leaderboard by primary metric, engine coverage, model count per engine, best model ID"
"Phase B Variant Exploration","s06_phaseb_variant_runner (2393 lines)","PyCaret, FLAML, scikit-learn, imblearn, DatasetProfiler, VariantRecommender, VariantPlanner, PreprocessingCache","Classification (210 variants), Regression (80 variants), Clustering (40 variants) — 330 total variant YAMLs","DatasetProfiler (statistical profiling), VariantRecommender (scoring 0-100 with diversity boost), VariantPlanner, PreprocessingCache (dedup), VariantSchema (validation). CheckpointManager for resume. Per-variant time budget. ChampionManifest + VariantResult stable contracts. N variants × M engines in single step with nested MLflow","Engineered dataset + 330 variant YAMLs across configs/recipes/{classification,regression,clustering}/variant_search/","Data-driven — profiler recommends based on imbalance ratio, missing rate, outliers, multicollinearity, domain","Per-variant: primary metric, runtime_sec, timed_out, leakage_risk. Aggregate: leaderboard.csv, champion_manifest.json, champion_model.pkl. Coverage: round1_max_variants=40, round2_max_variants=10 from 330 total (task-specific selection)"
"Phase B Aggregation","s08_aggregate_phaseb","pandas, MLflow, JSON","Classification, Regression, Clustering","pandas (DataFrame ops), MLflow (artifact logging). Merges variant×engine results into unified leaderboard. Identifies Phase B champion","Phase B leaderboards and champion manifests","Domain-agnostic","Phase B champion metric, variant count completed/failed, best variant_id, champion preprocessing config"
