Phase,Component,Change_Type,Files_Modified,Status,Verification,Notes
Phase1-Cache,api/core/config.py,NEW_FIELDS,api/core/config.py,DONE,Settings load with 3 new fields,"Added experiment_cache_enabled (True), experiment_cache_preload_count (20), experiment_cache_ttl_seconds (120)"
Phase1-Cache,Background warmer,NEW,api/main.py,DONE,uvicorn /tmp/api.log shows 'Application startup complete' and cache populates within ~65s,"_experiments_warm_loop coroutine spawned in lifespan(); cancelled cleanly on shutdown"
Phase1-Cache,Cache primitives,NEW,api/services/pipeline_service.py,DONE,refresh_experiments_cache() + get_cached_experiments() callable,"Thread-safe dict guarded by threading.Lock; logs 'warmed experiments cache: N exp / M jobs in Xs'"
Phase1-Cache,GET /experiments cache-aware,ENHANCEMENT,api/routers/pipelines.py,DONE,curl response shows X-Cache HIT/MISS headers,"Added max_results_per_experiment + force_refresh query params; X-Cache, X-Cache-Age, X-Cache-FetchedAt response headers"
Phase1-Cache,POST /experiments/refresh,NEW_ROUTE,api/routers/pipelines.py,DONE,Returns 202 Accepted with prior cache meta,Background fire-and-forget refresh
Phase1-Cache,Cache HIT latency,VERIFIED,—,DONE,curl TIME=0.006s for max_results_per_experiment=20,Down from ~63s cold
Phase1-Cache,Cache MISS latency,VERIFIED,—,DONE,curl TIME=62.7s with force_refresh=true,Matches Azure ML SDK enumeration baseline
Phase2-Drift,Drift parser schema rewrite,FIX,api/services/pipeline_service.py (lines ~727-905),DONE,DriftResponse populated correctly for happy_owl_sfmkgs2jrd,"Bug 1: parser used pre-V3 keys (psi_scores). Now reads feature_psi_scores with 3-level fallback chain; nested-dict per-feature values supported; severity thresholds PSI>=0.25 severe / >=0.10 moderate"
Phase2-Drift,Drift download glob fix,FIX,api/services/pipeline_service.py (~line 770-786),DONE,curl /jobs/happy_owl_sfmkgs2jrd/drift returns 11 features (insurance dataset),"Bug 2: ml_client.jobs.download(output_name='drift_report') writes a file literally named 'drift_report' (no .json extension). Old code: rglob('*.json') matched 0 files. Fixed: candidates = list(rglob('*.json')) + [extensionless files]; try parseable JSON content"
Phase2-Drift,DriftResponse fields verified,VERIFIED,—,DONE,"job=happy_owl_sfmkgs2jrd: stability_score=65.0, drift_type='self_check', features=11, top=age PSI=0.0277","Producer s13 schema: feature_psi_scores, self_check.status, stability_assessment.stability_score, comparison_drift.available"
Phase2-Drift,s13 producer,READ_ONLY,src/steps/s13_drift_monitor.py (lines 498-530),NO_CHANGE,—,Per V3 immutable-files policy
Docs,POST_V3_PRODUCTION_REPORT.md,NEW,docs/POST_V3_PRODUCTION_REPORT.md,DONE,File created and committed,Executive summary covering cache + drift workstreams
Docs,FASTAPI_INTEGRATION.md,NEW,docs/FASTAPI_INTEGRATION.md,DONE,File created and committed,"API surface (17 routes), auth, cache architecture, restart recipe, known issues"
Docs,DRIFT_DETECTION.md,UPDATE,docs/DRIFT_DETECTION.md,DONE,Section 15 'API Integration' appended,Documents GET /jobs/{job}/drift contract and the two parser fixes
Docs,V3_PostProduction_Enhancements_Blueprint.csv,NEW,docs/blueprints/V3_PostProduction_Enhancements_Blueprint.csv,DONE,This file,"Stakeholder-facing change log; immutable production blueprint files V3_Production_Blueprint.csv and V3_Variant_Configurations.csv NOT modified"
Open,Warmer log line not in stdout,KNOWN_ISSUE,api logger config,OPEN,grep 'warmed' /tmp/api.log returns nothing,"Cosmetic only — cache verified populated via X-Cache:HIT response. Fix: attach handler to 'api' logger or use uvicorn logger"
Open,Streamlit restart not scripted,KNOWN_ISSUE,scripts/,OPEN,—,Manual relaunch needed after API restart
Open,comparison_drift always available=false,EXPECTED,—,EXPECTED,All current jobs return comparison_available=false,No prior baseline supplied via baseline_in yet; will populate after first chained run
Open,No automated API tests,KNOWN_ISSUE,tests/,OPEN,Verification done via manual curl,Pytest fixture against dev mock recommended next
Bug-B1-ClusteringChampion,components/aggregate_phaseb.yml + src/steps/aggregate_phaseb.py,BUGFIX_PROPOSED,components/aggregate_phaseb.yml;src/steps/aggregate_phaseb.py,NOT_FIXED,5 of 6 clustering pipelines (last 7 days) failed at s11 with ScriptExecution.StreamAccess.NotFound on phaseb_champion mount,"Regression introduced commit e299ff69 (2026-04-19) added mode:upload to champion_model output. For clustering aggregate_phaseb selects no champion (model_map keys r1_pycaret/r1_flaml/r2_pycaret/r2_flaml are classification/regression-only) and writes empty folder. upload mode skips empty folders -> blob path never materializes -> downstream s11 mount fails. Fix: revert mode to mount AND write sentinel _NO_CHAMPION.json. See docs/CLUSTERING_FAILURE_REPORT.md."
Bug-B2-IngestionEncoding,src/steps/stage1_ingestion.py,BUGFIX_PROPOSED,src/steps/stage1_ingestion.py,NOT_FIXED,1 of 6 failures (willing_roti_p93qfd40b6 / s1) UnicodeDecodeError 0xa3,"pd.read_csv called without encoding fallback. Fix: try utf-8 then utf-8-sig then cp1252 then latin-1 with logging. See docs/CLUSTERING_FAILURE_REPORT.md section 4."
